Gene	GC	Length
ENSG00000005243.COPZ2	52.70	11859
ENSG00000239070.MIR1299	50.60	82
ENSG00000226542.AC114814.4	50.36	3764
ENSG00000227593.RP11-715G18.3	48.42	949
ENSG00000229403.RP4-718N17.2	44.00	16619
ENSG00000267939.CTD-2325M2.1	46.55	7296
ENSG00000224129.RP11-492M19.1	44.15	896
ENSG00000120533.ENY2	37.11	11629
ENSG00000143815.LBR	41.69	27423
ENSG00000151655.ITIH2	43.39	46251
ENSG00000171100.MTM1	39.71	104726
ENSG00000236264.RPL26P30	45.53	636
ENSG00000267919.RP11-256I23.3	47.05	541
ENSG00000225595.XXbac-BPG308K3.6	43.08	3725
ENSG00000104783.KCNN4	55.16	14724
ENSG00000257460.CR942185.1	48.14	13103
ENSG00000213117.RP3-352A20.1	43.00	885
ENSG00000211556.AL157702.1	57.32	81
ENSG00000149476.DAK	54.64	20085
ENSG00000125998.FAM83C	58.06	6670
ENSG00000196893.AC090286.4	54.22	2524
ENSG00000220032.RP11-17M16.1	47.61	2568
ENSG00000263989.Metazoa_SRP	53.04	295
ENSG00000267990.CTD-3187F8.15	61.20	664
ENSG00000124279.FASTKD3	37.73	9878
ENSG00000257852.RP11-843B15.1	49.66	146
ENSG00000163288.GABRB1	36.76	432721
ENSG00000232099.ZFP57	48.31	8709
ENSG00000240954.RPL4P1	46.71	1277
ENSG00000260310.RP11-27M24.2	56.74	1684
ENSG00000268268.CTC-233O10.1	37.94	2490
ENSG00000250030.RP11-584P21.4	38.96	307
ENSG00000011600.TYROBP	51.45	3908
ENSG00000241151.RP11-454C18.1	37.05	20792
ENSG00000267530.AC006273.5	54.05	2284
ENSG00000233956.BTF3P6	40.28	498
ENSG00000260471.AC009120.8	48.10	498
ENSG00000257358.BX927189.1	49.13	6526
ENSG00000226200.RP11-50E11.3	45.60	2486
ENSG00000185674.LYG2	41.93	13036
ENSG00000248408.RP11-452C8.1	36.40	33076
ENSG00000261749.RP11-152O14.1	39.48	13787
ENSG00000263062.NAIP	43.19	56609
ENSG00000256311.RP11-64B16.5	43.73	33183
ENSG00000222493.Y_RNA	44.71	84
ENSG00000249602.RP11-98D18.3	46.73	6117
ENSG00000263812.RP11-111H3.1	45.29	82313
ENSG00000120659.TNFSF11	41.03	45277
ENSG00000227867.TCEB1P11	39.46	331
ENSG00000221900.POM121L12	63.91	1268
ENSG00000199197.7SK	53.77	291
ENSG00000110442.COMMD9	40.91	15948
ENSG00000259554.RP11-408J6.1	39.21	981
ENSG00000004142.POLDIP2	49.85	10886
ENSG00000228039.KB-1125A3.10	57.47	702
ENSG00000264807.AL845353.1	61.70	93
ENSG00000261403.RP11-114H24.3	43.29	9579
ENSG00000132517.SLC52A1	50.39	19409
ENSG00000251185.RP11-542G1.1	39.43	92114
ENSG00000100441.KHNYN	52.38	12048
ENSG00000187239.FNBP1	43.76	156007
ENSG00000259367.RP11-815J21.4	39.19	51325
ENSG00000255595.RP4-809F18.1	42.29	1763
ENSG00000241020.RP11-727A23.1	48.50	399
ENSG00000262111.TAS2R30	35.98	1686
ENSG00000203593.RP5-1096D14.6	38.20	6726
ENSG00000253021.U6	41.76	90
ENSG00000263962.AC245100.3	64.74	1057
ENSG00000228992.RPL5P32	42.21	878
ENSG00000229611.RP11-390F4.10	48.70	3309
ENSG00000261577.JUP	54.96	32327
ENSG00000204524.ZNF805	46.52	14530
